classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (µm2),Cellular surface area (µm2),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_32_1,702.11434,1844.993091,416.5951565,1133.038511,0.9171742,-0.9358977
Tom20,AICS-11_32_2,564.8750162,1589.357215,366.3655052,1098.459416,0.9901727,0.2371531
Tom20,AICS-11_32_3,789.865878,1833.530971,463.862595,1263.982424,0.9046332,0.216471
Tom20,AICS-11_32_4,602.2204381,1553.712405,429.4036981,964.2885408,0.7496991,-0.6160629
Tom20,AICS-11_32_5,996.1840287,2784.648803,514.2246211,1629.733504,0.8731279,-0.7542585
Tom20,AICS-11_32_6,583.0375438,1424.908112,385.2826003,920.6797258,0.8870108,-0.3470834
Tom20,AICS-11_32_7,309.749324,1259.09852,233.5182722,694.04431,0.8759701,-0.9281631
Tom20,AICS-11_32_9,200.0258893,1728.637273,191.9339194,781.4824946,0.9865839,-0.5442059
Tom20,AICS-11_33_1,515.4552547,1757.581675,352.1098693,1249.811713,0.9635244,-0.4073111
Tom20,AICS-11_33_2,650.483784,1677.244802,392.8227114,988.7756625,0.9397328,0.4007614
Tom20,AICS-11_33_3,848.2308543,2533.060382,504.7756263,1608.522054,0.9450735,-0.08903071
Tom20,AICS-11_33_4,858.8766804,2100.628966,481.0011867,1307.906482,0.9556084,0.4709896
Tom20,AICS-11_33_5,771.0911303,1985.157466,436.6318206,1194.339246,0.9190124,0.4785362
Tom20,AICS-11_33_6,751.6361382,1869.958063,433.6613148,1158.944488,0.8901513,0.1539061
Tom20,AICS-11_34_1,729.3921437,1805.334838,481.8667139,1222.486461,0.8686634,-0.7267784
Tom20,AICS-11_34_2,649.8035395,1942.880272,389.2795615,1169.233186,0.779276,-0.8858185
Tom20,AICS-11_34_3,668.6122994,1946.349518,386.7835471,1057.985919,0.9902041,1
Tom20,AICS-11_34_4,584.8061795,1653.266184,400.3056107,1244.768666,0.8968637,-0.4168227
Tom20,AICS-11_34_5,753.9149572,1942.812247,466.8864287,1145.736408,0.9882917,0.8534697
Tom20,AICS-11_34_7,799.287264,2013.455636,544.4102599,1164.612142,0.8730646,-0.1987994
Tom20,AICS-11_35_1,761.3976465,1721.698779,444.2483543,919.463054,0.9215255,-0.1969033
Tom20,AICS-11_35_3,702.7945845,1941.655831,405.4237155,1298.739977,0.9021105,0.5386744
Tom20,AICS-11_35_4,722.45365,1745.745421,422.3177132,1117.596541,0.9212638,0.6764365
Tom20,AICS-11_35_5,605.9277706,1483.919321,366.0972915,928.3356255,0.9094823,-0.6971008
Tom20,AICS-11_36_1,1096.996261,2795.804813,573.5130713,1419.810898,0.8230387,-0.5942695
Tom20,AICS-11_36_2,657.0481432,1600.615261,394.2289699,993.2996032,0.9208198,0.4518692
Tom20,AICS-11_36_3,806.0897088,1977.028544,467.1770023,1067.811673,0.9787316,0.1229198
Tom20,AICS-11_36_4,705.6175991,1645.477385,407.8336496,975.996724,0.9189887,-0.5526995
Tom20,AICS-11_36_5,841.2583484,1993.3204,484.6092119,976.8275041,0.856263,-0.7503678
Tom20,AICS-11_36_6,879.6581493,2291.029396,511.6463055,1429.94633,0.945102,-0.9153084
Tom20,AICS-11_36_7,618.138159,1698.978613,406.8354328,1126.207722,0.9835907,-1
Tom20,AICS-11_37_1,889.3176209,2041.515721,468.5726582,1126.823931,0.9892915,0.1503438
Tom20,AICS-11_37_2,743.40518,1651.837671,422.3254814,1047.627308,0.9290434,-0.9701102
Tom20,AICS-11_37_3,952.7844309,2211.644866,567.941995,1168.414373,0.9461886,-0.01943406
Tom20,AICS-11_37_4,736.0585396,1703.094092,442.2786896,1127.576609,0.957774,-0.8705864
Tom20,AICS-11_37_6,647.7628061,1608.506097,409.7396988,1021.073208,0.9554394,0.9575302
Tom20,AICS-11_38_1,996.5921754,1902.813872,551.635968,1153.165559,0.846144,0.7404112
Tom20,AICS-11_38_2,621.1652469,1302.157996,395.5942878,915.4557001,0.9438784,-0.6970158
Tom20,AICS-11_38_3,791.396428,2067.637109,464.71584,1214.727684,0.9855152,0.2460828
Tom20,AICS-11_39_1,560.895586,1820.572314,365.9693257,1166.471267,0.8719246,-0.9913853
Tom20,AICS-11_39_3,1053.120492,2294.838766,554.4828121,1395.106896,0.7770517,-0.7649492
Tom20,AICS-11_39_6,698.9512032,1701.665579,440.4995564,1150.751111,0.9633175,-1
Tom20,AICS-11_39_7,701.5361322,1945.431188,466.7150029,1317.53803,0.9716062,-0.5896255
Tom20,AICS-11_39_9,177.951956,2405.344481,188.606915,1094.673982,1,-0.02331804
Tom20,AICS-11_39_11,472.1236813,1294.539258,337.4201578,912.324686,0.9512933,-0.8559068
Tom20,AICS-11_40_1,586.0646317,1224.712162,415.1019779,823.523703,0.9162986,-0.3487357
Tom20,AICS-11_40_2,639.8719701,1525.312198,401.4734687,940.558821,0.7771316,-0.2363085
Tom20,AICS-11_40_3,628.6479362,1486.436225,369.8559572,877.7073803,0.9488525,0.9725059
Tom20,AICS-11_40_4,523.7882496,1216.58324,347.5463527,774.4539315,0.9191815,0.2685751
Tom20,AICS-11_40_5,920.4388059,2143.65443,514.5751359,1230.866695,0.9187985,-0.4963671
Tom20,AICS-11_40_6,481.6471041,1086.758581,349.3094246,684.4686093,0.8067138,-0.9586527
Tom20,AICS-11_40_8,732.5212683,1644.729116,474.7225722,1063.763798,0.9764382,-0.8356528
Tom20,AICS-11_41_1,304.8175515,1193.318879,227.4782681,746.676757,0.9777436,0.6859158
Tom20,AICS-11_41_2,664.0886736,1544.903239,387.9662067,940.4972001,0.9721906,0.5964836
Tom20,AICS-11_41_3,692.9310396,1497.048039,408.745891,936.0106308,0.8931159,-0.06109688
Tom20,AICS-11_41_4,529.6723644,1340.047613,383.2624421,955.4814743,0.8672822,-0.2126541
Tom20,AICS-11_41_6,496.3743971,1369.434175,362.7901276,886.1624623,0.8594106,0.0447717
Tom20,AICS-11_41_7,713.7465206,2086.854016,408.2353927,1336.713996,0.92874,-0.1472771
Tom20,AICS-11_41_8,575.7249156,1669.217917,361.3979359,1183.619097,0.9500726,-1
Tom20,AICS-11_41_9,659.7691212,1402.902203,408.6805959,819.0230669,0.8633424,0.438957
Tom20,AICS-11_42_1,590.6222698,1286.580397,363.3189967,746.3242476,0.8849968,-0.4288488
Tom20,AICS-11_42_2,539.5018971,1475.65435,404.6925577,918.356187,0.9448417,-0.7706622
Tom20,AICS-11_42_3,689.9039516,1436.404244,454.1033962,875.784115,0.8558898,-0.1969651
Tom20,AICS-11_42_4,694.2575163,1426.166565,403.9248682,770.5796872,0.8982921,0.4240224
Tom20,AICS-11_42_5,666.5375537,1586.874323,400.776638,1169.093568,0.9414421,-0.3944554
Tom20,AICS-11_42_6,548.141002,1447.220131,356.7438249,1014.215546,0.8979456,0.4000015
Tom20,AICS-11_42_7,613.5124965,1545.37941,385.8531448,1178.92457,0.9299856,0.4415591
Tom20,AICS-11_42_8,504.6733797,1555.379004,338.4374802,1144.601617,0.9853318,-0.7223272
Tom20,AICS-11_42_9,964.484636,2391.025335,522.6939798,1530.621464,0.8717803,-0.7049447
Tom20,AICS-11_43_1,778.7778929,1738.636866,460.061624,1090.599863,0.9463618,-0.05064301
Tom20,AICS-11_43_2,786.6347167,1681.80244,473.5969145,1170.78683,0.9199016,-0.4029604
Tom20,AICS-11_43_3,689.5978416,1569.426052,415.272144,869.0572529,0.932666,0.786674
Tom20,AICS-11_43_4,755.7516173,1884.787393,438.760524,1261.283491,0.882658,-0.7793425
